"Country","Date Month","Client","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Azerbaijan","Jan-2025","Canela",141,81.94999999999996,0.5812056737588652,237
"Azerbaijan","Nov-2024","Canela",235,780.3166666666664,3.3204964539007094,466
"Azerbaijan","Oct-2024","Canela",211,574.7500000000005,2.7239336492890995,387
"Azerbaijan","Sep-2024","Canela",88,196.11666666666693,2.2285984848484848,154
"Bahamas","Aug-2024","Canela",81,66.46666666666663,0.8205761316872429,95
"Bahamas","Dec-2024","Canela",48,158.25000000000006,3.296875,113
"Bahamas","Jan-2025","Canela",34,23.05,0.6779411764705883,54
"Bahamas","Nov-2024","Canela",64,28.13333333333338,0.4395833333333333,118
"Bahamas","Oct-2024","Canela",88,916.433333333333,10.414015151515152,172
"Bahamas","Sep-2024","Canela",66,21.86666666666667,0.33131313131313134,85
"Bahrain","Aug-2024","Canela",16,13.950000000000001,0.871875,27
