"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Canela","Grenada","Apr-2024",3,31.150000000000002,10.383333333333333,4
"Canela","Guadeloupe","Apr-2024",4,1.3833333333333335,0.3458333333333333,5
"Canela","Guam","Apr-2024",4,48.416666666666664,12.104166666666666,8
"Canela","Guatemala","Apr-2024",9510,143070.03333333525,15.044167542937258,35980
"Canela","Guinea","Apr-2024",19,23.099999999999998,1.2157894736842105,39
"Canela","Guinea-Bissau","Apr-2024",3,1.1666666666666665,0.3888888888888889,2
"Canela","Guyana","Apr-2024",26,28.90000000000001,1.1115384615384616,32
"Canela","Haiti","Apr-2024",126,163.06666666666663,1.294179894179894,177
"Canela","Honduras","Apr-2024",6975,101097.96666666768,14.494332138590202,33596
"Canela","Hong Kong","Apr-2024",118,5861.93333333335,49.677401129943505,526
"Canela","Hungary","Apr-2024",27,210.0333333333333,7.779012345679012,42
"Canela","Iceland","Apr-2024",3,2,0.6666666666666666,3
"Canela","India","Apr-2024",696,2171.116666666663,3.1194204980842914,1575
"Canela","Indonesia","Apr-2024",404,2035.3666666666625,5.038036303630363,688
"Canela","Iran","Apr-2024",4158,16146.166666666615,3.8831569664903,8135
"Canela","Iraq","Apr-2024",4019,2746.6833333333398,0.6834245666417849,5564
"Canela","Ireland","Apr-2024",48,106.45,2.2177083333333334,83
"Canela","Isle of Man","Apr-2024",1,0.2,0.2,1
"Canela","Israel","Apr-2024",94,240.9666666666666,2.5634751773049644,165
"Canela","Italy","Apr-2024",373,2073.133333333325,5.557998212689902,802
"Canela","Jamaica","Apr-2024",62,98.49999999999999,1.5887096774193548,84
"Canela","Japan","Apr-2024",118,14763.949999999671,125.11822033898305,8920
"Canela","Jordan","Apr-2024",81,50.28333333333329,0.6207818930041152,127
"Canela","Kazakhstan","Apr-2024",10,70.71666666666667,7.071666666666667,14
"Canela","Kenya","Apr-2024",44,104.59999999999995,2.377272727272727,60
"Canela","Kuwait","Apr-2024",133,86.3,0.6488721804511278,203
"Canela","Kyrgyzstan","Apr-2024",1,0.15,0.15,1
"Canela","Laos","Apr-2024",3,111.38333333333333,37.12777777777778,6
"Canela","Latvia","Apr-2024",11,2.8666666666666663,0.2606060606060606,15
"Canela","Lebanon","Apr-2024",68,80.5666666666666,1.1848039215686275,112
"Canela","Lesotho","Apr-2024",2,0,0,2
"Canela","Liberia","Apr-2024",21,30.033333333333335,1.4301587301587302,26
"Canela","Libya","Apr-2024",149,69.44999999999996,0.46610738255033557,225
"Canela","Lithuania","Apr-2024",23,46.9,2.0391304347826087,42
"Canela","Luxembourg","Apr-2024",15,362.6166666666668,24.174444444444443,74
"Canela","Macau SAR China","Apr-2024",2,2297.1499999999996,1148.575,174
"Canela","Macedonia","Apr-2024",12,59.71666666666666,4.976388888888889,17
"Canela","Madagascar","Apr-2024",16,29.3,1.83125,24
"Canela","Malawi","Apr-2024",29,55.56666666666667,1.9160919540229886,43
"Canela","Malaysia","Apr-2024",105,542.0666666666672,5.162539682539683,176
"Canela","Maldives","Apr-2024",9,51.9,5.766666666666667,25
"Canela","Mali","Apr-2024",30,52.85,1.7616666666666667,62
"Canela","Malta","Apr-2024",6,416.06666666666666,69.34444444444445,8
"Canela","Martinique","Apr-2024",4,385.35,96.3375,22
"Canela","Mauritania","Apr-2024",20,12.583333333333334,0.6291666666666667,23
"Canela","Mauritius","Apr-2024",19,105.25,5.5394736842105265,31
"Canela","Mexico","Apr-2024",888655,10772929.100002855,12.122735032155335,2604250
"Canela","Moldova","Apr-2024",10,10.116666666666667,1.0116666666666667,19
"Canela","Montenegro","Apr-2024",5,4.449999999999999,0.89,6
"Canela","Morocco","Apr-2024",467,538.6500000000013,1.153426124197002,1007
"Canela","Mozambique","Apr-2024",39,75.93333333333334,1.9470085470085472,60
"Canela","Myanmar [Burma]","Apr-2024",200,1231.9999999999982,6.16,239
"Canela","Namibia","Apr-2024",2,6.283333333333333,3.1416666666666666,2
"Canela","Nepal","Apr-2024",17,10.783333333333333,0.634313725490196,22
"Canela","Netherlands","Apr-2024",541,101804.26666666678,188.17794208256313,1139
"Canela","New Caledonia","Apr-2024",2,2.6666666666666665,1.3333333333333333,2
"Canela","New Zealand","Apr-2024",6,19.033333333333335,3.1722222222222225,7
"Canela","Nicaragua","Apr-2024",3626,41820.45000000033,11.533494208494208,13341
"Canela","Niger","Apr-2024",9,4.9,0.5444444444444445,12
"Canela","Nigeria","Apr-2024",167,135.81666666666663,0.8132734530938124,223
"Canela","Norway","Apr-2024",38,33.13333333333333,0.8719298245614034,86
"Canela","Oman","Apr-2024",39,23.800000000000004,0.6102564102564103,61
"Canela","Pakistan","Apr-2024",373,979.6333333333309,2.6263628239499552,643
"Canela","Palestinian Territories","Apr-2024",30,17.76666666666667,0.5922222222222222,52
"Canela","Panama","Apr-2024",3277,42745.616666666865,13.044130810700844,11275
"Canela","Papua New Guinea","Apr-2024",12,8.700000000000001,0.725,15
"Canela","Paraguay","Apr-2024",3051,84428.31666666722,27.67234240139845,12792
"Canela","Peru","Apr-2024",52493,1320661.483333476,25.158811333574636,195629
"Canela","Philippines","Apr-2024",40,26.500000000000007,0.6625,55
"Canela","Poland","Apr-2024",186,43555.31666666664,234.16836917562725,641
