"Country","Date Month","Rights Holder","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"China","Nov-2024","9story",28,21.116666666666664,0.7541666666666667,62
"China","Oct-2024","9story",31,11.200000000000005,0.36129032258064514,60
"China","Sep-2024","9story",27,10.333333333333334,0.3827160493827161,66
"Colombia","Aug-2024","9story",5624,17092.633333333175,3.0392306780464677,7754
"Colombia","Dec-2024","9story",410,2431.6166666666672,5.930772357723577,675
"Colombia","Jan-2025","9story",245,1374.233333333332,5.609115646258504,359
"Colombia","Nov-2024","9story",2120,11560.533333333326,5.453081761006289,3410
"Colombia","Oct-2024","9story",6771,22829.083333333027,3.3715970068429084,9528
"Colombia","Sep-2024","9story",5606,19927.1333333331,3.554608157926032,8140
"Congo - Brazzaville","Jan-2025","9story",1,0.08333333333333333,0.08333333333333333,1
"Congo - Brazzaville","Oct-2024","9story",1,0.7666666666666667,0.7666666666666667,1
"Congo - Brazzaville","Sep-2024","9story",2,0.7833333333333334,0.39166666666666666,2
"Congo - Kinshasa","Jan-2025","9story",1,1.4333333333333333,1.4333333333333333,1
"Congo - Kinshasa","Oct-2024","9story",1,0.06666666666666667,0.06666666666666667,1
"Congo - Kinshasa","Sep-2024","9story",1,0.08333333333333333,0.08333333333333333,1
"Costa Rica","Aug-2024","9story",70,163.5000000000001,2.335714285714286,83
"Costa Rica","Dec-2024","9story",37,120.51666666666667,3.257207207207207,50
"Costa Rica","Jan-2025","9story",14,58.58333333333333,4.184523809523809,15
"Costa Rica","Nov-2024","9story",62,302.0666666666667,4.872043010752688,83
"Costa Rica","Oct-2024","9story",134,624.1333333333334,4.65771144278607,192
"Costa Rica","Sep-2024","9story",118,571.5666666666668,4.8437853107344635,185
"Croatia","Dec-2024","9story",2,0.15000000000000002,0.075,2
"Croatia","Jan-2025","9story",1,0.1,0.1,1
"Croatia","Nov-2024","9story",3,0.6000000000000001,0.19999999999999998,3
"Cuba","Aug-2024","9story",41,184.25000000000006,4.4939024390243905,61
"Cuba","Dec-2024","9story",25,93.18333333333334,3.7273333333333336,29
"Cuba","Jan-2025","9story",12,114.75,9.5625,14
"Cuba","Nov-2024","9story",18,151.04999999999998,8.391666666666667,26
"Cuba","Oct-2024","9story",66,455.98333333333346,6.9088383838383844,120
"Cuba","Sep-2024","9story",50,161.08333333333331,3.2216666666666667,75
"Curaçao","Dec-2024","9story",2,1.0666666666666667,0.5333333333333333,2
"Curaçao","Nov-2024","9story",3,5.533333333333333,1.8444444444444443,3
"Curaçao","Oct-2024","9story",1,0.06666666666666667,0.06666666666666667,1
"Curaçao","Sep-2024","9story",4,39.71666666666667,9.929166666666667,6
"Cyprus","Oct-2024","9story",1,0.05,0.05,1
"Czech Republic","Aug-2024","9story",1,0.48333333333333334,0.48333333333333334,1
"Czech Republic","Dec-2024","9story",1,0.05,0.05,1
"Czech Republic","Jan-2025","9story",3,0.15,0.049999999999999996,3
"Czech Republic","Nov-2024","9story",2,0.5666666666666667,0.2833333333333333,2
"Czech Republic","Oct-2024","9story",2,0.1,0.05,2
"Czech Republic","Sep-2024","9story",5,0.9833333333333334,0.19666666666666666,6
"Côte d’Ivoire","Aug-2024","9story",1,0.08333333333333333,0.08333333333333333,1
"Côte d’Ivoire","Nov-2024","9story",2,0.7333333333333333,0.36666666666666664,2
"Côte d’Ivoire","Oct-2024","9story",3,1.0833333333333335,0.3611111111111111,4
"Denmark","Dec-2024","9story",1,0.1,0.1,2
"Denmark","Jan-2025","9story",1,0.08333333333333333,0.08333333333333333,1
"Denmark","Nov-2024","9story",1,0.11666666666666667,0.11666666666666667,1
"Dominica","Nov-2024","9story",2,0.6666666666666667,0.3333333333333333,2
"Dominican Republic","Aug-2024","9story",211,923.7666666666662,4.378041074249605,343
"Dominican Republic","Dec-2024","9story",65,470.30000000000007,7.235384615384616,119
"Dominican Republic","Jan-2025","9story",41,319.59999999999997,7.795121951219513,77
"Dominican Republic","Nov-2024","9story",146,665.0333333333334,4.555022831050228,259
"Dominican Republic","Oct-2024","9story",212,1071.3999999999994,5.05377358490566,330
"Dominican Republic","Sep-2024","9story",214,1232.2500000000007,5.758177570093458,343
"Ecuador","Aug-2024","9story",340,9726.250000000011,28.606617647058822,852
"Ecuador","Dec-2024","9story",90,20838.366666666672,231.5374074074074,1378
"Ecuador","Jan-2025","9story",77,16437.816666666666,213.47813852813852,1084
"Ecuador","Nov-2024","9story",138,18835.76666666666,136.49106280193237,1263
"Ecuador","Oct-2024","9story",294,23258.149999999983,79.1093537414966,1698
"Ecuador","Sep-2024","9story",350,22064.433333333327,63.0412380952381,1677
"Egypt","Aug-2024","9story",3,0.13333333333333333,0.044444444444444446,3
"Egypt","Dec-2024","9story",15,1.6999999999999997,0.11333333333333333,15
"Egypt","Jan-2025","9story",7,0.49999999999999994,0.07142857142857142,7
"Egypt","Nov-2024","9story",19,7.199999999999999,0.37894736842105264,19
"Egypt","Oct-2024","9story",6,20.616666666666667,3.4361111111111113,7
"Egypt","Sep-2024","9story",11,0.9000000000000001,0.08181818181818182,11
"El Salvador","Aug-2024","9story",79,359.7166666666667,4.55337552742616,110
"El Salvador","Dec-2024","9story",34,169.76666666666668,4.993137254901961,62
"El Salvador","Jan-2025","9story",24,24.43333333333333,1.0180555555555555,30
"El Salvador","Nov-2024","9story",54,80.99999999999999,1.5,64
"El Salvador","Oct-2024","9story",119,346.60000000000014,2.912605042016807,155
"El Salvador","Sep-2024","9story",123,541.6333333333338,4.403523035230352,160
"Equatorial Guinea","Aug-2024","9story",1,0.43333333333333335,0.43333333333333335,1
"Equatorial Guinea","Nov-2024","9story",1,13,13,1
"Equatorial Guinea","Oct-2024","9story",1,0.2,0.2,1
"Estonia","Dec-2024","9story",2,0.16666666666666669,0.08333333333333333,2
"Estonia","Nov-2024","9story",1,0.05,0.05,1
"Estonia","Oct-2024","9story",1,0.08333333333333333,0.08333333333333333,1
"Estonia","Sep-2024","9story",1,2.6666666666666665,2.6666666666666665,1
"Ethiopia","Oct-2024","9story",2,1.2833333333333332,0.6416666666666667,3
"Finland","Aug-2024","9story",1,48,48,4
"Finland","Dec-2024","9story",1,0.06666666666666667,0.06666666666666667,1
"Finland","Nov-2024","9story",2,0.1,0.05,2
"Finland","Oct-2024","9story",2,2.3000000000000003,1.15,2
"Finland","Sep-2024","9story",1,0.016666666666666666,0.016666666666666666,1
"France","Aug-2024","9story",8,87.6,10.95,15
"France","Dec-2024","9story",11,322.11666666666696,29.283333333333335,60
"France","Jan-2025","9story",10,1.3666666666666667,0.13666666666666666,12
"France","Nov-2024","9story",15,3951.0666666666675,263.40444444444444,197
"France","Oct-2024","9story",27,144.8,5.362962962962963,35
"France","Sep-2024","9story",13,10.100000000000001,0.7769230769230769,17
"Gabon","Aug-2024","9story",1,0.06666666666666667,0.06666666666666667,1
"Gabon","Nov-2024","9story",1,0.03333333333333333,0.03333333333333333,1
"Gabon","Oct-2024","9story",3,5.516666666666667,1.8388888888888888,3
"Gabon","Sep-2024","9story",1,0.21666666666666667,0.21666666666666667,1
"Georgia","Dec-2024","9story",1,0.18333333333333332,0.18333333333333332,1
"Germany","Aug-2024","9story",86,1121.45,13.040116279069768,196
"Germany","Dec-2024","9story",118,205.81666666666683,1.7442090395480225,169
"Germany","Jan-2025","9story",53,30.83333333333332,0.5817610062893082,84
"Germany","Nov-2024","9story",29,11.483333333333336,0.39597701149425285,32
"Germany","Oct-2024","9story",33,99.49999999999997,3.015151515151515,47
"Germany","Sep-2024","9story",20,124.78333333333333,6.239166666666667,34
"Ghana","Aug-2024","9story",1,0.6333333333333333,0.6333333333333333,1
"Ghana","Oct-2024","9story",2,6.366666666666667,3.183333333333333,3
"Ghana","Sep-2024","9story",2,1.0166666666666666,0.5083333333333333,2
"Greece","Dec-2024","9story",3,0.16666666666666669,0.05555555555555555,3
"Greece","Jan-2025","9story",2,0.08333333333333334,0.041666666666666664,2
"Greece","Nov-2024","9story",4,1.0833333333333333,0.2708333333333333,4
"Greece","Oct-2024","9story",5,13.250000000000002,2.65,5
"Greece","Sep-2024","9story",4,0.6833333333333335,0.17083333333333334,6
"Grenada","Aug-2024","9story",3,5.8999999999999995,1.9666666666666668,4
"Grenada","Oct-2024","9story",1,0.4166666666666667,0.4166666666666667,1
"Grenada","Sep-2024","9story",2,0.05,0.025,2
"Guam","Nov-2024","9story",1,0.016666666666666666,0.016666666666666666,1
"Guatemala","Aug-2024","9story",98,266.2833333333335,2.7171768707482995,111
"Guatemala","Dec-2024","9story",24,58.449999999999996,2.435416666666667,31
"Guatemala","Jan-2025","9story",24,46.416666666666664,1.9340277777777777,33
"Guatemala","Nov-2024","9story",74,371.8,5.024324324324325,115
"Guatemala","Oct-2024","9story",166,414.16666666666663,2.494979919678715,207
"Guatemala","Sep-2024","9story",145,431.9166666666666,2.9787356321839082,196
"Guyana","Aug-2024","9story",8,0.39999999999999997,0.05,8
"Guyana","Oct-2024","9story",3,0.05,0.016666666666666666,3
"Guyana","Sep-2024","9story",4,0.1,0.025,4
"Haiti","Aug-2024","9story",1,0.05,0.05,1
"Haiti","Dec-2024","9story",2,0.5,0.25,2
"Haiti","Jan-2025","9story",5,1.7333333333333334,0.3466666666666667,5
"Haiti","Oct-2024","9story",1,0.03333333333333333,0.03333333333333333,2
"Honduras","Aug-2024","9story",79,191.00000000000006,2.4177215189873418,125
"Honduras","Dec-2024","9story",27,96.14999999999999,3.5611111111111113,40
"Honduras","Jan-2025","9story",22,50.68333333333333,2.3037878787878787,36
"Honduras","Nov-2024","9story",54,1078.6,19.97407407407407,172
"Honduras","Oct-2024","9story",102,2504.6333333333337,24.555228758169932,290
"Honduras","Sep-2024","9story",89,1094.9666666666662,12.302996254681648,197
"Hong Kong","Aug-2024","9story",2,0.21666666666666667,0.10833333333333334,2
"Hong Kong","Dec-2024","9story",2,0.13333333333333333,0.06666666666666667,2
"Hong Kong","Jan-2025","9story",4,5.35,1.3375,4
"Hong Kong","Nov-2024","9story",4,0.16666666666666669,0.041666666666666664,4
"Hong Kong","Oct-2024","9story",2,0.8166666666666667,0.4083333333333333,7
"Hong Kong","Sep-2024","9story",2,0.5666666666666667,0.2833333333333333,3
"Hungary","Dec-2024","9story",4,51.08333333333333,12.770833333333334,7
"Hungary","Jan-2025","9story",4,2.65,0.6625,5
"Hungary","Nov-2024","9story",1,0.7833333333333333,0.7833333333333333,1
"Hungary","Oct-2024","9story",1,0.1,0.1,2
"Hungary","Sep-2024","9story",1,0.03333333333333333,0.03333333333333333,1
"India","Aug-2024","9story",9,10.883333333333336,1.2092592592592593,9
"India","Dec-2024","9story",82,1529.1000000000004,18.647560975609753,159
"India","Jan-2025","9story",10,1.4333333333333331,0.14333333333333334,13
"India","Nov-2024","9story",56,445.7666666666663,7.960119047619047,151
"India","Oct-2024","9story",24,7.483333333333331,0.31180555555555556,26
"India","Sep-2024","9story",42,10.150000000000002,0.24166666666666667,48
"Indonesia","Aug-2024","9story",6,1.45,0.24166666666666667,6
"Indonesia","Dec-2024","9story",18,28.516666666666673,1.5842592592592593,22
"Indonesia","Jan-2025","9story",18,94,5.222222222222222,20
"Indonesia","Nov-2024","9story",22,68.54999999999998,3.1159090909090907,29
"Indonesia","Oct-2024","9story",43,19.849999999999998,0.4616279069767442,45
"Indonesia","Sep-2024","9story",17,1.383333333333333,0.08137254901960785,18
"Iran","Aug-2024","9story",5,2.7666666666666666,0.5533333333333333,5
"Iran","Dec-2024","9story",4,1.5,0.375,4
"Iran","Jan-2025","9story",8,1.1166666666666667,0.13958333333333334,8
"Iran","Nov-2024","9story",8,5.266666666666667,0.6583333333333333,8
"Iran","Oct-2024","9story",9,5.6499999999999995,0.6277777777777778,9
"Iran","Sep-2024","9story",9,8.45,0.9388888888888888,9
"Iraq","Aug-2024","9story",5,0.4666666666666666,0.09333333333333334,5
"Iraq","Dec-2024","9story",11,0.9500000000000002,0.08636363636363636,11
"Iraq","Jan-2025","9story",8,1.05,0.13125,9
"Iraq","Nov-2024","9story",18,2.816666666666667,0.1564814814814815,18
"Iraq","Oct-2024","9story",53,10.300000000000002,0.19433962264150945,53
"Iraq","Sep-2024","9story",47,33.733333333333334,0.7177304964539007,50
"Ireland","Dec-2024","9story",35,203.93333333333334,5.826666666666667,47
"Ireland","Jan-2025","9story",1,0.08333333333333333,0.08333333333333333,1
"Ireland","Nov-2024","9story",3,0.3333333333333333,0.1111111111111111,4
"Ireland","Oct-2024","9story",2,0.05,0.025,2
"Ireland","Sep-2024","9story",3,0.18333333333333335,0.06111111111111111,3
"Israel","Dec-2024","9story",4,0.6,0.15,5
"Israel","Jan-2025","9story",1,0.05,0.05,1
"Israel","Nov-2024","9story",2,0.1,0.05,2
"Israel","Oct-2024","9story",8,21.25,2.65625,12
"Israel","Sep-2024","9story",4,0.5166666666666666,0.12916666666666668,4
"Italy","Aug-2024","9story",4,0.26666666666666666,0.06666666666666667,4
"Italy","Dec-2024","9story",14,5.699999999999999,0.40714285714285714,18
"Italy","Jan-2025","9story",4,10.116666666666669,2.529166666666667,4
"Italy","Nov-2024","9story",18,1.9833333333333332,0.11018518518518519,18
"Italy","Oct-2024","9story",19,2.8833333333333337,0.15175438596491228,21
"Italy","Sep-2024","9story",10,1.2333333333333336,0.12333333333333334,10
"Jamaica","Aug-2024","9story",7,12.25,1.75,7
"Jamaica","Dec-2024","9story",4,11.25,2.8125,4
"Jamaica","Jan-2025","9story",3,2.2666666666666666,0.7555555555555555,3
"Jamaica","Nov-2024","9story",10,7.05,0.705,10
"Jamaica","Oct-2024","9story",11,66.5,6.045454545454546,15
"Jamaica","Sep-2024","9story",6,3.6,0.6,6
"Japan","Aug-2024","9story",1,0.016666666666666666,0.016666666666666666,1
"Japan","Dec-2024","9story",14,3.35,0.2392857142857143,16
"Japan","Jan-2025","9story",2,0.05,0.025,2
"Japan","Nov-2024","9story",3,0.5833333333333333,0.19444444444444445,3
"Japan","Oct-2024","9story",3,0.43333333333333335,0.14444444444444446,4
"Japan","Sep-2024","9story",1,0.5666666666666667,0.5666666666666667,1
"Jordan","Dec-2024","9story",2,0.2833333333333333,0.14166666666666666,2
"Jordan","Jan-2025","9story",4,1.5166666666666668,0.37916666666666665,5
"Jordan","Nov-2024","9story",5,0.4333333333333333,0.08666666666666667,5
"Jordan","Oct-2024","9story",1,0.13333333333333333,0.13333333333333333,1
"Jordan","Sep-2024","9story",1,0.016666666666666666,0.016666666666666666,1
"Kazakhstan","Aug-2024","9story",1,27.916666666666668,27.916666666666668,2
"Kazakhstan","Nov-2024","9story",2,0.8166666666666667,0.4083333333333333,2
