"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Canela","Guatemala","Aug-2024",7061,57301.88333333474,8.115264598970873,25066
"Canela","Haiti","Aug-2024",2,0.48333333333333334,0.24166666666666667,2
"Canela","Honduras","Aug-2024",4752,42597.200000000594,8.964057239057238,19944
"Canela","Hong Kong","Aug-2024",40,24.466666666666754,0.6116666666666666,257
"Canela","Hungary","Aug-2024",11,22.16666666666667,2.015151515151515,15
"Canela","Iceland","Aug-2024",5,1550.8833333333332,310.1766666666667,12
"Canela","India","Aug-2024",502,11138.533333333235,22.18831341301461,5335
"Canela","Indonesia","Aug-2024",278,746.1000000000003,2.683812949640288,353
"Canela","Iran","Aug-2024",182,225.89999999999998,1.2412087912087912,211
"Canela","Iraq","Aug-2024",143,150.80000000000015,1.0545454545454547,193
"Canela","Ireland","Aug-2024",105,910.4499999999987,8.67095238095238,390
"Canela","Israel","Aug-2024",58,73.7833333333333,1.2721264367816092,124
"Canela","Italy","Aug-2024",192,270.6666666666666,1.4097222222222223,348
"Canela","Jamaica","Aug-2024",43,8.183333333333332,0.19031007751937984,101
"Canela","Japan","Aug-2024",176,2422.783333333347,13.765814393939394,1441
"Canela","Jordan","Aug-2024",39,35.16666666666668,0.9017094017094016,76
"Canela","Kazakhstan","Aug-2024",4,88.28333333333335,22.070833333333333,5
"Canela","Kenya","Aug-2024",14,15.816666666666666,1.1297619047619047,17
"Canela","Kuwait","Aug-2024",27,48.916666666666664,1.8117283950617282,50
"Canela","Laos","Aug-2024",2,0.8,0.4,2
"Canela","Latvia","Aug-2024",3,1.5166666666666668,0.5055555555555555,3
"Canela","Lebanon","Aug-2024",28,20.51666666666667,0.7327380952380952,50
"Canela","Lesotho","Aug-2024",1,0.6666666666666666,0.6666666666666666,1
"Canela","Libya","Aug-2024",22,23.216666666666672,1.0553030303030302,26
"Canela","Lithuania","Aug-2024",5,1045.5166666666667,209.10333333333332,204
"Canela","Luxembourg","Aug-2024",7,3.6333333333333333,0.5190476190476191,10
"Canela","Macau SAR China","Aug-2024",1,535.6499999999999,535.65,58
"Canela","Macedonia","Aug-2024",20,120.01666666666661,6.0008333333333335,46
"Canela","Madagascar","Aug-2024",3,0.6166666666666667,0.20555555555555557,3
"Canela","Malawi","Aug-2024",2,0.26666666666666666,0.13333333333333333,2
"Canela","Malaysia","Aug-2024",81,123.59999999999998,1.525925925925926,94
"Canela","Maldives","Aug-2024",6,3.1999999999999997,0.5333333333333333,8
"Canela","Mali","Aug-2024",3,0.2,0.06666666666666667,3
"Canela","Malta","Aug-2024",4,0.5166666666666666,0.12916666666666668,5
"Canela","Martinique","Aug-2024",3,2.1166666666666667,0.7055555555555556,7
"Canela","Mauritania","Aug-2024",6,1.7000000000000002,0.2833333333333333,9
"Canela","Mauritius","Aug-2024",14,15.633333333333333,1.1166666666666667,18
"Canela","Mexico","Aug-2024",675363,4784584.9999926975,7.084464206656272,1951243
"Canela","Moldova","Aug-2024",3,5.533333333333333,1.8444444444444443,8
"Canela","Montenegro","Aug-2024",1,0.016666666666666666,0.016666666666666666,1
"Canela","Morocco","Aug-2024",184,339.03333333333296,1.842572463768116,238
"Canela","Mozambique","Aug-2024",16,65.10000000000002,4.06875,18
