"Country","Date Month","Video Type","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Serbia","Nov-2024","Ad / Placeholder Slate",1,1.4166666666666665,1.4166666666666667,2
"Serbia","Sep-2024","Ad / Placeholder Slate",1,0.06666666666666667,0.06666666666666667,1
"Singapore","Aug-2024","Ad / Placeholder Slate",37,23.400000000000006,0.6324324324324324,43
"Singapore","Dec-2024","Ad / Placeholder Slate",6,0.9500000000000001,0.15833333333333333,6
"Singapore","Jan-2025","Ad / Placeholder Slate",1,0.13333333333333333,0.13333333333333333,1
"Singapore","Nov-2024","Ad / Placeholder Slate",6,0.09999999999999999,0.016666666666666666,6
"Singapore","Oct-2024","Ad / Placeholder Slate",6,2.4999999999999996,0.4166666666666667,6
"Singapore","Sep-2024","Ad / Placeholder Slate",34,135.16666666666669,3.975490196078431,52
"Slovakia","Aug-2024","Ad / Placeholder Slate",3,4.616666666666666,1.5388888888888888,3
"Slovakia","Dec-2024","Ad / Placeholder Slate",2,0.15,0.075,2
"Slovakia","Sep-2024","Ad / Placeholder Slate",1,1.0166666666666666,1.0166666666666666,1
"Somalia","Sep-2024","Ad / Placeholder Slate",1,1,1,1
"South Africa","Nov-2024","Ad / Placeholder Slate",2,1.5333333333333332,0.7666666666666667,2
"South Africa","Sep-2024","Ad / Placeholder Slate",1,0.13333333333333333,0.13333333333333333,1
"South Korea","Aug-2024","Ad / Placeholder Slate",84,954.1500000000001,11.35892857142857,412
"South Korea","Dec-2024","Ad / Placeholder Slate",3,1.9833333333333334,0.6611111111111111,3
"South Korea","Jan-2025","Ad / Placeholder Slate",3,1.1,0.3666666666666667,3
"South Korea","Nov-2024","Ad / Placeholder Slate",64,825.383333333333,12.896614583333333,319
"South Korea","Oct-2024","Ad / Placeholder Slate",80,1053.8166666666664,13.172708333333333,390
"South Korea","Sep-2024","Ad / Placeholder Slate",57,512.9666666666666,8.999415204678364,195
"Spain","Aug-2024","Ad / Placeholder Slate",41,42.93333333333334,1.0471544715447154,52
"Spain","Dec-2024","Ad / Placeholder Slate",88,174.49999999999997,1.9829545454545454,169
"Spain","Jan-2025","Ad / Placeholder Slate",59,78.96666666666665,1.3384180790960452,96
"Spain","Nov-2024","Ad / Placeholder Slate",91,364.53333333333336,4.005860805860806,268
"Spain","Oct-2024","Ad / Placeholder Slate",123,180.24999999999997,1.4654471544715446,165
"Spain","Sep-2024","Ad / Placeholder Slate",76,187.9,2.4723684210526318,157
"Sri Lanka","Nov-2024","Ad / Placeholder Slate",1,1.4,1.4,1
"Suriname","Sep-2024","Ad / Placeholder Slate",1,0.35,0.35,1
"Sweden","Aug-2024","Ad / Placeholder Slate",1,0.03333333333333333,0.03333333333333333,1
"Sweden","Dec-2024","Ad / Placeholder Slate",5,5.316666666666667,1.0633333333333332,5
"Sweden","Jan-2025","Ad / Placeholder Slate",4,0.5833333333333334,0.14583333333333334,6
"Sweden","Nov-2024","Ad / Placeholder Slate",4,7.283333333333333,1.8208333333333333,4
"Sweden","Oct-2024","Ad / Placeholder Slate",4,0.23333333333333334,0.058333333333333334,4
"Sweden","Sep-2024","Ad / Placeholder Slate",3,0.16666666666666669,0.05555555555555555,5
"Switzerland","Dec-2024","Ad / Placeholder Slate",2,2,1,2
"Switzerland","Nov-2024","Ad / Placeholder Slate",3,2.65,0.8833333333333333,3
"Switzerland","Oct-2024","Ad / Placeholder Slate",1,1,1,1
"Syria","Aug-2024","Ad / Placeholder Slate",4,0.7000000000000002,0.175,4
"Syria","Dec-2024","Ad / Placeholder Slate",2,0.11666666666666667,0.058333333333333334,2
"Syria","Nov-2024","Ad / Placeholder Slate",2,0.7333333333333334,0.36666666666666664,2
"Syria","Sep-2024","Ad / Placeholder Slate",3,2.1,0.7000000000000001,3
"Taiwan","Jan-2025","Ad / Placeholder Slate",2,0.6833333333333333,0.3416666666666667,2
"Taiwan","Nov-2024","Ad / Placeholder Slate",1,0.23333333333333334,0.23333333333333334,1
"Taiwan","Oct-2024","Ad / Placeholder Slate",5,8.333333333333334,1.6666666666666667,6
"Taiwan","Sep-2024","Ad / Placeholder Slate",1,0.05,0.05,1
"Thailand","Sep-2024","Ad / Placeholder Slate",1,12,12,6
"Trinidad and Tobago","Aug-2024","Ad / Placeholder Slate",1,2,2,1
"Trinidad and Tobago","Dec-2024","Ad / Placeholder Slate",2,7.2,3.6,2
"Trinidad and Tobago","Jan-2025","Ad / Placeholder Slate",4,16.78333333333333,4.195833333333334,6
"Trinidad and Tobago","Nov-2024","Ad / Placeholder Slate",2,0.06666666666666667,0.03333333333333333,2
"Trinidad and Tobago","Sep-2024","Ad / Placeholder Slate",2,6,3,2
"Tunisia","Nov-2024","Ad / Placeholder Slate",1,10.033333333333333,10.033333333333333,4
"Tunisia","Oct-2024","Ad / Placeholder Slate",1,0.1,0.1,1
"Turkey","Aug-2024","Ad / Placeholder Slate",8,1.9333333333333331,0.24166666666666667,8
"Turkey","Dec-2024","Ad / Placeholder Slate",7,6.000000000000001,0.8571428571428571,8
"Turkey","Jan-2025","Ad / Placeholder Slate",5,3.833333333333333,0.7666666666666667,6
