"Country","Date Month","Client","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"South Korea","Jun-2024","Canela",82,57.03333333333333,0.6955284552845529,9,322
"South Korea","Mar-2024","Canela",44,0.35,0.007954545454545454,6,262
"South Korea","May-2024","Canela",66,25.7,0.3893939393939394,3,191
"South Korea","Nov-2024","Canela",34,0,0,0,200
"South Korea","Oct-2024","Canela",56,0,0,0,292
"South Korea","Sep-2024","Canela",60,0.21666666666666667,0.0036111111111111114,2,311
"South Sudan","Apr-2024","Canela",9,0,0,0,23
"South Sudan","Aug-2024","Canela",18,0,0,0,54
"South Sudan","Dec-2024","Canela",1,0,0,0,1
"South Sudan","Feb-2024","Canela",9,0.9833333333333333,0.10925925925925925,2,26
"South Sudan","Jan-2024","Canela",3,0,0,0,4
"South Sudan","Jan-2025","Canela",1,0,0,0,1
"South Sudan","Jul-2024","Canela",7,0,0,0,24
"South Sudan","Jun-2024","Canela",10,24.733333333333334,2.4733333333333336,4,18
"South Sudan","Mar-2024","Canela",3,0.21666666666666667,0.07222222222222223,1,5
"South Sudan","May-2024","Canela",18,1.8333333333333333,0.10185185185185185,3,43
"South Sudan","Nov-2024","Canela",3,0,0,0,7
"South Sudan","Oct-2024","Canela",12,0,0,0,18
"South Sudan","Sep-2024","Canela",7,0,0,0,10
"Spain","Apr-2024","Canela",6568,3850.45,0.586243909866017,227,10379
"Spain","Aug-2024","Canela",7529,2140.883333333333,0.28435161818745297,157,11859
"Spain","Dec-2024","Canela",715,32.05,0.04482517482517482,7,1886
"Spain","Feb-2024","Canela",7240,6271.2,0.8661878453038674,587,12573
"Spain","Jan-2024","Canela",7195,6322.766666666666,0.8787722955756312,522,11697
"Spain","Jan-2025","Canela",539,0.03333333333333333,0.00006184291898577613,2,1494
"Spain","Jul-2024","Canela",6966,750.7833333333333,0.10777825629246818,60,12331
"Spain","Jun-2024","Canela",5932,3768.616666666667,0.6353028770510227,244,10530
"Spain","Mar-2024","Canela",6726,5508.566666666667,0.8189959361681038,445,11006
"Spain","May-2024","Canela",6492,10429.983333333334,1.6065901622509755,827,11878
"Spain","Nov-2024","Canela",3965,949.0833333333334,0.23936527952921396,40,6617
"Spain","Oct-2024","Canela",9309,2912.75,0.3128961220324417,205,14811
"Spain","Sep-2024","Canela",7129,5144.3,0.7216019077009399,350,11083
"Sri Lanka","Apr-2024","Canela",18,0,0,0,26
"Sri Lanka","Aug-2024","Canela",23,45.6,1.982608695652174,2,30
"Sri Lanka","Dec-2024","Canela",3,0,0,0,38
"Sri Lanka","Feb-2024","Canela",21,678.1166666666667,32.291269841269845,19,40
"Sri Lanka","Jan-2024","Canela",17,538.55,31.67941176470588,23,30
"Sri Lanka","Jan-2025","Canela",6,0,0,0,19
"Sri Lanka","Jul-2024","Canela",22,0,0,0,27
"Sri Lanka","Jun-2024","Canela",30,126.5,4.216666666666667,4,60
"Sri Lanka","Mar-2024","Canela",15,0,0,2,18
"Sri Lanka","May-2024","Canela",18,0,0,0,27
"Sri Lanka","Nov-2024","Canela",11,0,0,0,12
"Sri Lanka","Oct-2024","Canela",25,0,0,0,28
"Sri Lanka","Sep-2024","Canela",18,0,0,0,30
"Sudan","Apr-2024","Canela",11,0,0,0,30
"Sudan","Aug-2024","Canela",14,0,0,0,16
"Sudan","Dec-2024","Canela",3,0,0,0,7
"Sudan","Feb-2024","Canela",2,3.8,1.9,8,8
"Sudan","Jan-2024","Canela",3,0.45,0.15,2,10
