"Country","Date Month","Video Type","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Uruguay","May-2024","Bumper / Promo",1,14.483333333333333,14.483333333333333,1,1
"Uruguay","Oct-2024","Bumper / Promo",2,0.7833333333333333,0.39166666666666666,2,2
"Uruguay","Sep-2024","Bumper / Promo",2,5.333333333333333,2.6666666666666665,3,2
"Venezuela","Apr-2024","Bumper / Promo",2,8.266666666666667,4.133333333333334,4,3
"Venezuela","Aug-2024","Bumper / Promo",5,4.366666666666666,0.8733333333333333,6,6
"Venezuela","Feb-2024","Bumper / Promo",38,190.28333333333333,5.007456140350877,131,62
"Venezuela","Jan-2024","Bumper / Promo",48,321.06666666666666,6.688888888888889,210,61
"Venezuela","Jul-2024","Bumper / Promo",6,8.283333333333333,1.3805555555555555,6,6
"Venezuela","Jun-2024","Bumper / Promo",1,0,0,1,1
"Venezuela","Mar-2024","Bumper / Promo",53,211.83333333333334,3.99685534591195,160,86
"Venezuela","May-2024","Bumper / Promo",23,130.95,5.693478260869565,24,24
"Venezuela","Nov-2024","Bumper / Promo",8,6.916666666666667,0.8645833333333334,10,9
"Venezuela","Oct-2024","Bumper / Promo",16,82.55,5.159375,21,19
"Venezuela","Sep-2024","Bumper / Promo",17,31.683333333333334,1.8637254901960785,18,17
"Argentina","Apr-2024","Clip",1,1.6166666666666667,1.6166666666666667,3,3
"Argentina","Jun-2024","Clip",1,1.1833333333333333,1.1833333333333333,2,2
"Congo - Kinshasa","Aug-2024","Clip",1,0.05,0.05,1,1
"Cuba","Jul-2024","Clip",1,0.6833333333333333,0.6833333333333333,1,1
"Cuba","Sep-2024","Clip",1,0.7,0.7,1,1
"Ecuador","Jan-2024","Clip",1,0.6166666666666667,0.6166666666666667,1,1
"Germany","Apr-2024","Clip",1,0,0,1,1
"Germany","Jul-2024","Clip",1,0,0,2,1
"Germany","Jun-2024","Clip",1,0,0,1,1
"Germany","May-2024","Clip",2,0.7,0.35,2,2
"Honduras","May-2024","Clip",1,0.6666666666666666,0.6666666666666666,1,1
"Iran","Apr-2024","Clip",4,1.9333333333333333,0.48333333333333334,6,6
"Iran","Feb-2024","Clip",1,0.65,0.65,2,2
"Iran","Jul-2024","Clip",2,0.05,0.025,3,3
"Iran","May-2024","Clip",2,1.6333333333333333,0.8166666666666667,2,2
"Iran","Sep-2024","Clip",1,0.16666666666666666,0.16666666666666666,2,2
"Iraq","Sep-2024","Clip",1,0.5666666666666667,0.5666666666666667,1,1
"Mauritania","Apr-2024","Clip",1,0.6833333333333333,0.6833333333333333,1,1
"Mexico","Aug-2024","Clip",1,0,0,1,1
"Mexico","May-2024","Clip",1,0,0,3,3
"Paraguay","May-2024","Clip",2,1.0666666666666667,0.5333333333333333,3,3
"Philippines","Oct-2024","Clip",1,0.65,0.65,3,1
"Puerto Rico","Apr-2024","Clip",51,29.833333333333332,0.5849673202614379,80,71
"Puerto Rico","Aug-2024","Clip",42,23.166666666666668,0.5515873015873016,55,51
"Puerto Rico","Dec-2024","Clip",8,3.95,0.49375,9,9
"Puerto Rico","Feb-2024","Clip",45,26.666666666666668,0.5925925925925927,67,60
"Puerto Rico","Jan-2024","Clip",43,27.633333333333333,0.6426356589147286,58,57
"Puerto Rico","Jan-2025","Clip",12,7.466666666666667,0.6222222222222222,18,17
"Puerto Rico","Jul-2024","Clip",56,22.933333333333334,0.4095238095238095,72,69
"Puerto Rico","Jun-2024","Clip",40,27.616666666666667,0.6904166666666667,61,56
"Puerto Rico","Mar-2024","Clip",53,44.05,0.8311320754716981,86,79
"Puerto Rico","May-2024","Clip",56,45.916666666666664,0.8199404761904762,100,87
"Puerto Rico","Nov-2024","Clip",29,16.616666666666667,0.5729885057471265,45,37
"Puerto Rico","Oct-2024","Clip",43,31.133333333333333,0.724031007751938,76,67
"Puerto Rico","Sep-2024","Clip",44,27.15,0.6170454545454546,70,59
"United Kingdom","Apr-2024","Clip",2,2.7333333333333334,1.3666666666666667,10,5
"United Kingdom","Aug-2024","Clip",1,0,0,1,1
"United States","Apr-2024","Clip",1465,706.4166666666666,0.48219567690557447,2070,1960
"United States","Aug-2024","Clip",1313,646.55,0.4924219345011424,1819,1711
"United States","Dec-2024","Clip",66,29.316666666666666,0.4441919191919192,93,86
"United States","Feb-2024","Clip",1176,621.0666666666667,0.5281179138321996,1640,1519
"United States","Jan-2024","Clip",760,484.71666666666664,0.6377850877192982,1129,1025
"United States","Jan-2025","Clip",51,30.766666666666666,0.6032679738562091,76,64
"United States","Jul-2024","Clip",1407,746.8833333333333,0.530833925610045,1978,1827
"United States","Jun-2024","Clip",1373,685.8,0.4994901675163874,1837,1722
"United States","Mar-2024","Clip",524,310.78333333333336,0.5930979643765903,828,725
"United States","May-2024","Clip",1661,850.7666666666667,0.5122014850491672,2318,2198
"United States","Nov-2024","Clip",349,245.95,0.704727793696275,490,452
"United States","Oct-2024","Clip",1118,588.1166666666667,0.5260435301132975,1538,1442
"United States","Sep-2024","Clip",1089,574.3333333333334,0.5273951637588001,1505,1400
"Venezuela","May-2024","Clip",1,0.65,0.65,1,1
"Albania","May-2024","Episode",1,0.65,0.65,1,1
"Algeria","Apr-2024","Episode",4,459.8333333333333,114.95833333333333,31,31
"Algeria","Feb-2024","Episode",4,31.066666666666666,7.766666666666667,4,4
"Algeria","Jan-2024","Episode",1,142.2,142.2,3,2
"Algeria","Jul-2024","Episode",2,1.45,0.725,3,3
"Algeria","Jun-2024","Episode",4,2.15,0.5375,4,4
"Algeria","May-2024","Episode",6,73.98333333333333,12.330555555555556,9,9
"Algeria","Oct-2024","Episode",1,0.65,0.65,1,1
"Algeria","Sep-2024","Episode",3,45.38333333333333,15.127777777777778,3,3
"Andorra","Mar-2024","Episode",1,25.133333333333333,25.133333333333333,2,2
"Angola","Apr-2024","Episode",4,4.516666666666667,1.1291666666666667,10,10
"Angola","Aug-2024","Episode",1,0,0,2,2
"Angola","Jul-2024","Episode",2,8.716666666666667,4.358333333333333,2,2
"Angola","May-2024","Episode",4,10.766666666666667,2.691666666666667,10,9
"Antigua and Barbuda","Apr-2024","Episode",1,90.65,90.65,9,9
"Argentina","Apr-2024","Episode",12505,4999255.166666667,399.7805011328802,206705,195288
"Argentina","Aug-2024","Episode",13145,4548486.1,346.0240471662229,193332,181853
"Argentina","Dec-2024","Episode",864,382614.2,442.84050925925925,19031,17116
"Argentina","Feb-2024","Episode",5858,1892781.7,323.1105667463298,99023,91883
"Argentina","Jan-2024","Episode",6028,2159115.2333333334,358.1810274275603,113971,106814
"Argentina","Jan-2025","Episode",643,302142.18333333335,469.8945308449974,14620,13157
"Argentina","Jul-2024","Episode",13112,4244637.533333333,323.7215934512914,179606,169995
"Argentina","Jun-2024","Episode",12054,4103435.25,340.42104280736686,174214,163987
"Argentina","Mar-2024","Episode",7574,2455677.4833333334,324.22464791831703,118870,110265
"Argentina","May-2024","Episode",12094,4433146.466666667,366.55750509894716,188979,178214
"Argentina","Nov-2024","Episode",7096,2150445.4,303.05036640360765,101100,94843
"Argentina","Oct-2024","Episode",12986,4161251.35,320.4413483751733,185794,175133
"Argentina","Sep-2024","Episode",11844,4157646.816666667,351.03401018799957,187193,175930
"Australia","Apr-2024","Episode",1,0.1,0.1,1,1
"Australia","Aug-2024","Episode",6,240.83333333333334,40.13888888888889,33,31
"Australia","Jan-2024","Episode",2,172.11666666666667,86.05833333333334,3,3
"Australia","Jul-2024","Episode",6,11.733333333333333,1.9555555555555555,10,10
