"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"Canela","South Korea","Jun-2024",1,33.35,33.35,5,2
"Canela","Spain","Jun-2024",25,2149.1666666666665,85.96666666666665,161,63
"Canela","Sri Lanka","Jun-2024",1,126.5,126.5,4,2
"Canela","Suriname","Jun-2024",1,0.05,0.05,1,1
"Canela","Sweden","Jun-2024",3,84.96666666666667,28.322222222222223,4,4
"Canela","Togo","Jun-2024",2,11.5,5.75,3,3
"Canela","Turkey","Jun-2024",1,0.15,0.15,2,2
"Canela","U.S. Virgin Islands","Jun-2024",39,6481.083333333333,166.18162393162393,439,162
"Canela","United Arab Emirates","Jun-2024",3,74.48333333333333,24.82777777777778,3,3
"Canela","United Kingdom","Jun-2024",1,56.95,56.95,1,1
"Canela","United States","Jun-2024",126544,15087565.6,119.22782273359464,1356089,247556
"Canela","Uruguay","Jun-2024",1253,200477.76666666666,159.99821761106676,8643,3171
"Canela","Venezuela","Jun-2024",19741,5204373.166666667,263.6327018219273,304082,90282
"Canela","Algeria","Mar-2023",1,0.8,0.8,3,0
"Canela","Argentina","Mar-2023",2917,414351.35,142.04708604730888,34886,6827
"Canela","Belize","Mar-2023",97,20789.55,214.32525773195874,1669,558
"Canela","Bolivia","Mar-2023",1381,110087.3,79.71564083997104,9083,1887
"Canela","Brazil","Mar-2023",416,39817.6,95.71538461538461,3492,1527
"Canela","Canada","Mar-2023",45,1926.9833333333333,42.821851851851854,286,97
"Canela","Chile","Mar-2023",3544,472141.86666666664,133.22287434161024,32439,7285
"Canela","China","Mar-2023",1,0.38333333333333336,0.38333333333333336,2,1
"Canela","Colombia","Mar-2023",87559,9117912.533333333,104.13449826212421,873204,176266
"Canela","Costa Rica","Mar-2023",1321,180433.46666666667,136.58854403229876,12596,2401
"Canela","Cuba","Mar-2023",925,6386.6,6.904432432432433,3469,830
"Canela","Curaçao","Mar-2023",1,455.56666666666666,455.56666666666666,21,16
"Canela","Dominican Republic","Mar-2023",3180,479732.25,150.85919811320755,37462,13067
"Canela","Ecuador","Mar-2023",5861,839685.2666666667,143.26655292043452,61359,14892
"Canela","El Salvador","Mar-2023",1273,138669.35,108.93114689709348,11116,1632
"Canela","Estonia","Mar-2023",1,0.21666666666666667,0.21666666666666667,2,2
"Canela","Ethiopia","Mar-2023",1,31,31,2,2
"Canela","French Guiana","Mar-2023",1,91.46666666666667,91.46666666666667,6,4
